質量,,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019,Oral_mucosa_lips_and_cheeks,600,3.71E-09,0.3224,0.1158,0,,600,4.10E-07,0.3145,0.3456,1.6,,600,7.12E-07,0.2805,0.2629,1.8,,600,4.62E-07,0.2582,0.8342,2,,600,2.49E-07,0.0989,0.9053,2.2,,600,5.35E-07,0.3916,0.4706,2,,600,2.65E-07,0.1998,0.8575,2.3,,600,3.30E-07,0.2632,0.9237,2.2,,600,5.72E-07,0.3088,0.4482,2,,600,1.07E-06,0.2932,0.3474,1.8,,600,1.21E-06,0.2488,0.4516,1.8,,600,1.65E-06,0.1777,0.3065,1.7,,600,2.15E-06,0.1638,0.1784,1.7,,600,2.96E-06,0.1452,0.2264,1.6,,600,3.67E-06,0.1584,0.2636,1.5,,600,4.04E-06,0.0966,0.0919,1.5,,600,6.60E-06,0.1408,0.2949,1.4,,600,9.60E-06,0.2004,0.2476,2.5,,600,1.72E-05,0.1258,0.4514,2.1,,600,1.94E-05,0.0715,0.1288,2.2,,600,2.16E-05,0.0654,0.3049,2.2,,600,2.21E-05,0.0559,0.1939,2.7
8.201,Trachea,700,3.27E-10,0.7109,0.521,0,,700,1.03E-07,0.0447,0.0029,10,,700,3.14E-07,0.0252,0.0012,7.3,,700,4.70E-07,0.0217,0.0013,3.1,,700,4.67E-07,0.0225,0.0018,10,,700,4.61E-07,0.0229,0.0025,10,,700,4.62E-07,0.0226,0.0033,10,,700,5.18E-07,0.0205,0.0041,10,,700,6.01E-07,0.0187,0.004,2.5,,700,9.04E-07,0.0172,0.002,4.7,,700,1.20E-06,0.0178,0.0019,10,,700,1.86E-06,0.0189,0.0019,10,,700,2.45E-06,0.0201,0.0022,10,,700,2.96E-06,0.021,0.0025,10,,700,3.45E-06,0.0217,0.0026,10,,700,4.36E-06,0.0228,0.0031,10,,700,5.17E-06,0.0236,0.0034,10,,700,8.52E-06,0.0244,0.0039,10,,700,1.35E-05,0.0227,0.0038,10,,700,1.79E-05,0.0214,0.0034,10,,700,2.06E-05,0.02,0.0037,10,,700,2.39E-05,0.0187,0.0029,10
0.01,BB(-11--6),800,0.00E+00,0,0,0,,800,0.00E+00,0,0,0,,800,5.30E-09,0.2291,0.1935,0,,800,7.08E-08,0.0535,0.0374,2.9,,800,2.00E-07,0.2339,0.5036,2,,800,5.10E-07,0.5858,0.9513,2.2,,800,2.04E-07,0.119,0.6347,2.3,,800,2.44E-07,0.1453,0.6564,2.5,,800,3.55E-07,0.1889,0.5185,2.1,,800,6.98E-07,0.2227,0.2958,1.9,,800,6.93E-07,0.2916,0.9604,2.3,,800,1.94E-06,0.2538,0.2044,1.8,,800,2.63E-06,0.2834,0.296,1.8,,800,2.59E-06,0.1902,0.2446,1.7,,800,2.03E-06,0.1454,0.4685,1.9,,800,7.25E-06,0.3575,0.6795,1.6,,800,5.54E-06,0.1626,0.1988,1.5,,800,8.95E-06,0.1306,0.1503,1.7,,800,1.12E-05,0.1161,0.2076,3,,800,1.79E-05,0.0962,0.1263,2.2,,800,2.07E-05,0.0692,0.1843,2.2,,800,2.58E-05,0.0848,0.1,2.3
0.013,BB(-6-0),801,0.00E+00,0,0,0,,801,0.00E+00,0,0,0,,801,4.61E-09,0.2083,0.0764,0,,801,9.28E-08,0.2305,0.7432,1.9,,801,1.85E-07,0.2888,0.8991,2.1,,801,4.16E-07,0.6191,0.9915,2.4,,801,3.51E-07,0.3536,0.7322,2.1,,801,3.07E-07,0.2468,0.4783,2.3,,801,4.12E-07,0.2712,0.4492,2.2,,801,1.15E-06,0.4253,0.6729,1.9,,801,8.92E-07,0.3699,0.8501,2.3,,801,1.29E-06,0.2084,0.4567,1.9,,801,1.95E-06,0.2283,0.5569,1.8,,801,2.21E-06,0.1487,0.1677,1.8,,801,2.93E-06,0.2017,0.3466,1.7,,801,4.56E-06,0.2139,0.3575,1.6,,801,4.86E-06,0.1271,0.1556,1.5,,801,8.98E-06,0.1208,0.1682,1.6,,801,1.19E-05,0.0719,0.0858,3.4,,801,1.57E-05,0.0578,0.0502,2.4,,801,2.02E-05,0.0598,0.0478,2.1,,801,2.36E-05,0.0678,0.0823,2.4
0.021,BB(0-10),802,0.00E+00,0,0,0,,802,0.00E+00,0,0,0,,802,4.60E-09,0.2083,0.0764,0,,802,7.67E-08,0.1605,0.8677,2.4,,802,2.55E-07,0.5082,0.9927,2.1,,802,3.14E-07,0.4316,0.947,2.1,,802,3.57E-07,0.3184,0.5216,1.9,,802,2.94E-07,0.2192,0.6739,2.1,,802,3.05E-07,0.1387,0.5081,2.2,,802,6.34E-07,0.3394,0.7958,2.3,,802,1.22E-06,0.227,0.2327,1.8,,802,1.79E-06,0.2008,0.196,1.7,,802,2.22E-06,0.2028,0.1584,1.8,,802,2.61E-06,0.1648,0.2154,1.7,,802,3.07E-06,0.1799,0.1871,1.7,,802,3.89E-06,0.1372,0.1576,1.6,,802,3.89E-06,0.195,0.2215,1.5,,802,1.11E-05,0.2063,0.3096,1.6,,802,1.23E-05,0.0698,0.1339,3.6,,802,1.54E-05,0.065,0.087,2.5,,802,2.17E-05,0.0701,0.0983,2.1,,802,2.10E-05,0.1945,0.507,2.4
0.053,BB(10-35),803,0.00E+00,0,0,0,,803,0.00E+00,0,0,0,,803,4.58E-09,0.2082,0.0762,0,,803,6.83E-08,0.0699,0.2588,2.2,,803,1.22E-07,0.0594,0.4911,2.8,,803,2.29E-07,0.2355,0.6734,2.2,,803,4.01E-07,0.2893,0.4667,1.8,,803,3.51E-07,0.2151,0.6057,1.9,,803,4.42E-07,0.1813,0.3067,1.8,,803,6.05E-07,0.15,0.1562,1.8,,803,1.20E-06,0.171,0.1039,1.7,,803,2.17E-06,0.1847,0.1284,1.6,,803,1.79E-06,0.1393,0.1376,1.7,,803,2.42E-06,0.1278,0.1089,1.6,,803,2.23E-06,0.1342,0.1553,1.7,,803,4.38E-06,0.1306,0.1292,1.5,,803,4.64E-06,0.1157,0.1676,1.5,,803,8.12E-06,0.0852,0.1187,1.8,,803,1.36E-05,0.1091,0.3863,3.1,,803,1.70E-05,0.0974,0.3543,2.3,,803,2.13E-05,0.084,0.4334,2.3,,803,2.52E-05,0.0719,0.1064,2.9
0.011,BB(35-40),804,0.00E+00,0,0,0,,804,0.00E+00,0,0,0,,804,4.56E-09,0.2081,0.0759,0,,804,1.66E-07,0.6093,0.9976,1.9,,804,3.13E-07,0.4041,0.6937,1.9,,804,3.93E-07,0.3422,0.3863,2.1,,804,4.95E-07,0.4588,0.7152,2.1,,804,5.69E-07,0.3932,0.4418,2.1,,804,6.98E-07,0.3954,0.4025,2.1,,804,7.76E-07,0.3016,0.6013,2,,804,9.54E-07,0.236,0.2849,1.9,,804,1.47E-06,0.1676,0.1561,1.7,,804,1.65E-06,0.1632,0.2546,1.7,,804,2.88E-06,0.1988,0.2101,1.7,,804,2.88E-06,0.1619,0.2133,1.7,,804,6.39E-06,0.3187,0.7198,1.5,,804,5.41E-06,0.1336,0.1587,1.5,,804,7.22E-06,0.1644,0.1442,1.7,,804,1.30E-05,0.1427,0.6595,3.1,,804,1.75E-05,0.3679,0.6053,2.2,,804,2.13E-05,0.0947,0.4411,2.3,,804,2.67E-05,0.0962,0.2306,2.1
0.021,BB(40-50),805,0.00E+00,0,0,0,,805,0.00E+00,0,0,0,,805,4.55E-09,0.2081,0.076,0,,805,1.43E-07,0.5229,0.9918,1.7,,805,2.31E-07,0.4538,0.9841,2.1,,805,2.26E-07,0.1884,0.3699,2.2,,805,7.02E-07,0.4455,0.4649,1.9,,805,4.45E-07,0.2652,0.2619,2,,805,3.71E-07,0.2224,0.6144,2.1,,805,7.31E-07,0.2149,0.2168,1.9,,805,1.07E-06,0.3412,0.6999,1.9,,805,1.71E-06,0.1797,0.1599,1.6,,805,2.14E-06,0.1834,0.2313,1.7,,805,2.45E-06,0.1452,0.1348,1.7,,805,2.94E-06,0.1537,0.2019,1.6,,805,5.10E-06,0.229,0.3675,1.6,,805,5.10E-06,0.1701,0.175,1.5,,805,8.73E-06,0.1081,0.2253,1.9,,805,1.24E-05,0.0692,0.0967,3.1,,805,1.73E-05,0.0758,0.1614,2.1,,805,1.94E-05,0.1196,0.3124,2.4,,805,2.49E-05,0.0849,0.2439,2.4
0.021,BB(50-60),806,0.00E+00,0,0,0,,806,0.00E+00,0,0,0,,806,4.54E-09,0.2073,0.0765,0,,806,7.51E-08,0.1363,0.7323,2,,806,4.42E-07,0.438,0.495,1.7,,806,1.88E-07,0.1601,0.5462,2.5,,806,2.82E-07,0.2108,0.3387,2.1,,806,4.24E-07,0.2507,0.2716,1.9,,806,5.79E-07,0.2683,0.2939,1.9,,806,8.43E-07,0.2816,0.567,1.8,,806,7.43E-07,0.164,0.2269,1.9,,806,1.59E-06,0.1852,0.2869,1.7,,806,1.99E-06,0.1458,0.1441,1.6,,806,2.57E-06,0.1806,0.2806,1.7,,806,2.49E-06,0.1204,0.1207,1.7,,806,4.18E-06,0.134,0.1365,1.5,,806,5.92E-06,0.1477,0.1715,1.5,,806,9.19E-06,0.1207,0.0983,1.8,,806,1.41E-05,0.1802,0.8526,2.9,,806,2.04E-05,0.1828,0.8222,2.2,,806,2.15E-05,0.0958,0.4681,2.7,,806,2.69E-05,0.1163,0.2702,2.2
0.021,BB(60-70),807,0.00E+00,0,0,0,,807,0.00E+00,0,0,0,,807,6.59E-09,0.3461,0.6893,0,,807,1.04E-07,0.3631,0.9804,2,,807,1.84E-07,0.1958,0.4261,1.9,,807,2.40E-07,0.2131,0.4197,2.1,,807,2.71E-07,0.189,0.5627,1.9,,807,5.15E-07,0.3296,0.5676,1.9,,807,7.08E-07,0.271,0.2594,1.8,,807,6.73E-07,0.2808,0.2363,1.8,,807,7.97E-07,0.2156,0.5189,2,,807,1.84E-06,0.2072,0.2449,1.6,,807,2.35E-06,0.1764,0.1417,1.6,,807,2.39E-06,0.1453,0.1885,1.7,,807,2.42E-06,0.1804,0.4377,1.7,,807,4.68E-06,0.2271,0.6136,1.6,,807,4.37E-06,0.178,0.2085,1.5,,807,7.30E-06,0.1217,0.1444,2,,807,1.25E-05,0.067,0.0975,3,,807,1.79E-05,0.0786,0.172,2.4,,807,1.96E-05,0.0788,0.1507,2.6,,807,3.03E-05,0.1744,0.2109,2.2
1.179,BB(70-surface),808,0.00E+00,0,0,0,,808,0.00E+00,0,0,0,,808,1.29E-08,0.3118,0.1811,0,,808,1.27E-07,0.0954,0.0394,1.6,,808,2.36E-07,0.0768,0.0278,1.8,,808,3.02E-07,0.0688,0.0258,1.9,,808,3.26E-07,0.0621,0.0336,2.7,,808,3.96E-07,0.0593,0.0318,2.8,,808,4.88E-07,0.052,0.0325,10,,808,7.15E-07,0.0506,0.0214,10,,808,9.43E-07,0.0488,0.0148,10,,808,1.46E-06,0.0515,0.0165,5.4,,808,1.97E-06,0.0543,0.0198,3.6,,808,2.59E-06,0.0556,0.0178,4.1,,808,2.87E-06,0.0537,0.0206,2.6,,808,3.97E-06,0.0547,0.0195,4.4,,808,4.88E-06,0.0569,0.0199,2.5,,808,8.17E-06,0.0495,0.0172,10,,808,1.22E-05,0.0432,0.0197,10,,808,1.63E-05,0.0371,0.0129,7.2,,808,2.10E-05,0.0374,0.0224,4.4,,808,2.49E-05,0.0323,0.0076,8.6
